"comments","target"
"About halfway through and this is a great tutorial for all levels. Being a more experienced programmer, playing it on 1.5X speed was much better than normal speed.",s
Just had a rather silly doubt as to why the 'valid rating' program (3:42:17) is referred to as getters and setters?,q
we really need some courses like c/c++ for Java programmers,s
"Hello everyone i have two questions:
1-how can i improve after i watch this course
2-i feel that this codes is simple and easy how can i build a game or app or a website using this codes",q
"3:31:08 If you want to use the same name as member variables for arguments, try this.
	Book(string title, string author, int pages) {
		this->title = title;
		this->author = author;
		this->pages = pages;
	}",s
"Me: 2x speed
Also me: learns in 2 hours😎",o
loved it!! most of the information needed to program in cpp has been provided to us free of cost in just 4 hour time. incredible!,p
"my friends have told me that C++ is much more complex than other languages, but so far i'm failing to see the added complexity. I'm coming from Java, Python and Delphi",o
"You sir are amazing, I wanted to get ahead in class so I decided to check this out and it cleared up things the professor showed and then began teaching me things I didn't know. Thank you very much!!",p
"just finish the whole video class. Thanks, Mike!",p
"Can you please explain, why when you give a PG-15 as a rating, the setter was called and made the rating NR. Are the setters called any time when you create an object, or i am missunderstanding :/
Thanks for the tutorial, very well done!",q
Yay!!! i finally finished it...im so glad i found this channel...Thank you very much🥺❤,p
"The ""Building a Guessing Game"" tutorial has a flaw - the 'guess' variable is uninitialized when the 'while' loop tries to evaluate it, so the code has UNDEFINED BEHAVIOR.  The 'guess' variable needs to be explicitly initialized to a value other than 7 so the 'while' loop will run correctly.  Otherwise, the code should be modified to use a 'do..while' loop instead.",s
"damm,this course will clear yr basics like hell, love it😍",p
"Fantastic job at this man, add free and very well explained as well as taking it step by step visually.",p
"I am taking Intermediate C++ after having taken Beginner C++ over a year ago (with other programming courses with different languages between these two classes), and this tutorial reintroduced me to C++ and made it a much easier transition back into C++ programming. Thanks Giraffe Academy!",p
im gonna have a test in like 5 days and im watching this and its very helpful i wish i would get a good grade,p
if anybody is having an error with getline at 1:04 try adding #include <string> under #include <iostream>,q
I'm nervous about learning c++ but I think if I practice for months I should get a good understanding of it. Nice video!,p
A very good tutorial for beginners 👍,s
"Good teacher, which is rare in this field. Seen so many beginner vids where ppl do not explain terms or the shop talk they use, or put any thought to what lvl they're pitching it at. Keep it up.",p
When your professor expects you to learn C++ in one week:,p
"Me and my friends decided to make a game together. Decided on using C++, I have no clue what this is and how to use it properly but I'm dedicated to learn.",o
I didn't realize that knowledge of JavaScript would make C++ seem so easy to me.,o
"Is it a psychological thing, or do we actually learn more from YouTube than college",q
Great job explaining things!,p
you're literally the best teacher I've ever seen 💙✋,p
"get this man a masterclass now, taking my apsc 177 final in 8 hours and this man is giving me a passing grade",p
people who disliked this teach college computer science,p
"This dude teach a concept, then shows an example, easy to understand!",p
"Dude, this is awesome! thanks so much for the video, Saved me tons of time trying to brush up on C++ that I did in college!",p
"I've been in this second carreer in software development for almost a year and have learned nothing but the fundamentals (variables, if, else, buts) all in virtual classes. We've been starting to learn C++ and i barely understand anything. I got a homework assignment on Friday and a face-to-face class in Sunday so imma do my best to learn as much as i can in these three days.",o
You have saved me from failing a college exam 🙏,p
Hey Mike you are an amazing tutor man,p
"You pretty much are my online professor because he told me to look on YouTube for help, rather than making lecture videos himself. Thanks for taking the time to make these videos to help people! You really are appreciated!",p
"1:28:10 FINALLY, you tell me something I don't know. I now understand why header files exist! It makes sense when you put it like that.",p
Thanks a lot. Easy to understand!,p
2:10:00 coudln't this task be easily solved in max. 3 lines of code with the use of an simple array?,q
"Thanks man! I used to say ""I don't speak C++"" anytime anyone suggested I should use it in Unreal.
I used C#, but I imagined C# and C++ are worlds apart, and I won't ever dare to tackle C++. It's surprising how similar C++ is to C#. So now.. next step. C++ in Unreal!
Thanks for the Intro! Very good, clear, simple explanations.",p
"13:54 ... code container...helps,thus each function/method is a code container with a focus.",s
"53:00 Those are postfix operators, but there are also prefix operators, where a postfix operator example is ""wnum++"", a prefix operator example is ""++wnum"". Postfix uses the value before incrementing it, whereas prefix increments the value before using it.",s
